Date,Open,High,Low,Close,Adj Close,Volume
2006-05-05,51.279999,51.279999,51.160000,51.189999,46.536201,1000
2006-05-08,50.610001,51.189999,50.470001,51.189999,46.536201,9300
2006-05-09,51.049999,51.599998,51.049999,51.369999,46.699852,37400
2006-05-10,51.200001,52.009998,51.000000,51.880001,47.163486,8600
2006-05-11,52.450001,52.630001,51.349998,51.459999,46.781670,20600
2006-05-12,50.900002,50.900002,49.419998,49.450001,44.954399,38400
2006-05-15,48.279999,48.360001,47.500000,48.049999,43.681679,32300
2006-05-16,48.299999,48.330002,47.810001,48.139999,43.763493,75300
2006-05-17,48.049999,48.130001,46.700001,46.900002,42.636223,4900
2006-05-18,47.000000,47.000000,46.000000,46.000000,41.818054,93100
2006-05-19,45.700001,46.349998,45.110001,46.279999,42.072586,57800
2006-05-22,45.250000,45.310001,44.430000,45.279999,41.163502,5900
2006-05-23,46.799999,47.220001,45.619999,45.619999,41.472580,59600
2006-05-24,45.200001,46.000000,44.180000,45.000000,40.908951,36000
2006-05-25,45.900002,46.680000,45.549999,46.419998,42.199867,12300
2006-05-26,46.669998,47.130001,46.580002,46.869999,42.608955,27600
2006-05-30,47.500000,47.500000,46.150002,46.150002,41.954395,2000
2006-05-31,46.750000,47.480000,46.419998,47.470001,43.154408,2600
2006-06-01,46.849998,48.000000,46.849998,47.590000,43.263493,8400
2006-06-02,48.200001,48.330002,47.849998,48.330002,43.936214,4800
2006-06-05,48.950001,48.950001,46.669998,46.669998,42.427128,4800
2006-06-06,47.020000,47.070000,46.509998,46.790001,42.536228,6800
2006-06-07,46.299999,46.349998,45.000000,45.000000,40.908951,5000
2006-06-08,44.400002,45.270000,43.299999,45.250000,41.136230,9400
2006-06-09,45.279999,45.740002,44.740002,44.740002,40.672596,7000
2006-06-12,44.500000,44.500000,43.750000,43.750000,39.772602,5700
2006-06-13,43.299999,43.299999,41.919998,42.049999,38.227142,31700
2006-06-14,42.500000,43.529999,42.500000,43.430000,39.481701,65500
2006-06-15,43.529999,45.450001,43.529999,45.279999,41.163502,15500
2006-06-16,45.250000,45.500000,44.320000,45.450001,41.318050,11000
2006-06-19,45.299999,45.299999,43.389999,43.490002,39.536236,15500
2006-06-20,43.950001,44.200001,43.259998,43.320000,39.381680,32900
2006-06-21,44.020000,44.779999,43.680000,44.389999,40.354420,33100
2006-06-22,44.299999,44.790001,44.299999,44.790001,40.740997,2200
2006-06-23,46.509998,47.160000,46.509998,46.889999,42.651146,23100
2006-06-26,46.849998,47.369999,46.340000,47.330002,43.051376,13900
2006-06-27,47.650002,47.939999,47.320000,47.380001,43.096851,19000
2006-06-28,47.599998,48.200001,47.549999,48.060001,43.715393,5600
2006-06-29,48.930000,49.430000,48.730000,49.430000,44.961533,51700
2006-06-30,49.799999,50.049999,49.369999,50.049999,45.525482,210300
2006-07-03,50.349998,50.750000,50.349998,50.660000,46.080341,13000
2006-07-05,50.299999,50.529999,49.630001,50.520000,45.953011,8200
2006-07-06,50.500000,50.560001,50.009998,50.230000,45.689220,11000
2006-07-07,50.599998,50.730000,49.430000,49.439999,44.970615,4500
2006-07-10,49.330002,49.790001,49.139999,49.419998,44.952435,10700
2006-07-11,49.900002,49.930000,49.349998,49.930000,45.416332,15400
2006-07-12,50.139999,50.139999,49.450001,49.529999,45.052498,25000
2006-07-13,49.610001,49.650002,48.889999,48.990002,44.561310,29700
2006-07-14,49.290001,49.299999,48.410000,49.299999,44.843296,42000
2006-07-17,48.950001,48.950001,47.500000,47.840000,43.515274,21700
2006-07-18,48.500000,48.529999,47.349998,48.090000,43.742683,13400
2006-07-19,48.299999,48.639999,47.869999,48.529999,44.142910,14000
2006-07-20,48.700001,48.700001,47.610001,47.610001,43.306068,5700
2006-07-21,47.689999,47.689999,46.730000,46.889999,42.651146,10700
2006-07-24,47.410000,48.500000,47.380001,48.430000,44.051933,6600
