Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,280.109985,281.220001,279.220001,280.500000,280.500000,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,277.760010,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,272.570007,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,272.059998,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,270.200012,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,273.019989,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,273.730011,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,269.100006,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,264.119995,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,265.019989,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,263.250000,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,267.500000,79843900
2018-11-27,266.339996,268.399994,265.660004,268.399994,268.399994,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,274.579987,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,273.980011,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,275.649994,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,279.299988,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,270.250000,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,269.839996,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,263.570007,160907800
